longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-123.18528608781574,52.036515955131364,2015-04-09,Person,9.3,2015
-123.15833130735557,52.01031531874087,2015-04-15,Person,7.7,2015
-123.2268751768984,52.110079807637575,2015-04-15,Person,29.7,2015
-123.15759069943195,51.99322028637989,2015-04-16,Person,5.7,2015
-123.11878301259861,51.92376397973007,2015-04-20,Person,1.3,2015
-120.46930574814472,52.88903484468447,2018-07-30,Lightning,4.7,2018
-121.62198214776369,52.82875761431693,2018-07-30,Lightning,6.2,2018
-121.62198214776369,52.82875761431693,2018-07-30,Lightning,6.2,2018
-120.48636581657904,52.69198052299218,2018-07-31,Lightning,4.0,2018
-120.5172861151398,52.7062513383449,2018-07-31,Lightning,0.9,2018
-121.52922126811465,52.23222054736613,2018-08-02,Lightning,0.3,2018
-121.21454184528068,52.22154605614262,2018-07-31,Lightning,36.7,2018
-121.09876359839186,52.56496539769582,2018-07-31,Lightning,2.4,2018
-120.7147493223706,52.66641001752689,2018-07-31,Lightning,697.2,2018
-121.0851344534571,52.60290858775921,2018-07-31,Lightning,25.1,2018
-121.25133747851362,51.668412032747575,2018-04-23,Person,4.0,2018
-120.89799876010034,51.10164541915986,2018-05-08,Lightning,1.5,2018
-121.38010193912574,52.01327095546722,2018-06-20,Lightning,21.2,2018
-121.7398927891999,51.915632996219784,2018-07-25,Person,1.8,2018
-121.86450803746777,51.438196070387605,2018-07-31,Lightning,6841.2,2018
-121.67779287944361,51.5761299479755,2018-07-31,Lightning,1.7,2018
-120.68546022448648,52.03614637045653,2018-07-31,Lightning,325.8,2018
-120.66279378786848,52.06722303596985,2018-07-31,Lightning,168.3,2018
-120.63122406205294,52.11727395879521,2018-07-31,Lightning,25.9,2018
-121.0923222323183,51.95616100964742,2018-07-31,Lightning,11.9,2018
-125.51755479562112,52.14958557791173,2018-06-22,Person,91.4,2018
-123.46885002195904,52.19015211514376,2018-07-17,Lightning,55.2,2018
-124.76351646343164,52.55952511212369,2018-07-31,Lightning,52.0,2018
-123.6525413023585,52.382505879677836,2018-08-01,Lightning,3.9,2018
-120.93693725133649,51.92836482519989,2018-07-31,Lightning,587.7,2018
-121.61636406283947,51.61559469433408,2018-07-31,Lightning,1.0,2018
-120.24793502470288,51.999798232447894,2018-07-31,Lightning,92.5,2018
-121.67405341572535,51.57574387551883,2018-07-31,Lightning,1.4,2018
-121.06040171665686,51.9897510566167,2018-07-31,Lightning,346.4,2018
-120.80515580848638,51.798645340304276,2018-07-31,Lightning,14.5,2018
-120.83217461417206,52.05674423989374,2018-08-01,Lightning,111.2,2018
-124.61539515232451,52.09714384817535,2018-08-01,Lightning,122.6,2018
